ruzgardan rüzgardan
coma Com'a
sıze size
kötüyüd kötüydü
ozu öz
degısen değişen
bildigin bildiğin
bildigim bildiğim
oturdugu oturduğu
oaln olan
cekimi çekimi
dakikalik dakikalık
bzı biz
karsıya karşıya
dilegiyle dileğiyle
cat çat
onem önem
atılcak atılacak
mucadelesi mücadelesi
verdığı verdiği
cal çal
sınemadan sinemadan
cak çak
ögrenci öğrenci
teşekür teşekkür
cag çağ
yilinda yılında
caf cafe
eskimis eskimiş
sehri şehri
uzulurdum üzülürdüm
haftasinda haftasında
kosullarda koşullarda
içerdeki içerideki
neyın neyin
gerçeklestirmek gerçekleştirmek
söyliyeceğim söyleyeceğim
nabiz nabız
patlamis patlamış
lines line
karari kararı
kaliplar kalıplar
hizlandirma hızlandırma
onde önde
barinda barında
mukemmeldı mükemmeldi
sehrin şehrin
komedının komedinin
olaylarindan olaylarından
yapilabilir yapılabilir
keyfli keyifli
caldı çaldı
cayda çayda
seen sene
yapacagim yapacağım
once önce
teşekkürker teşekkürler
sacmalıktı saçmalıktı
kardesler kardeşler
ortalikta ortalıkta
olağanustu olağanüstü
gıdersınız gidersiniz
puna puma
ederiim ederim
oyunlari oyunları
olabilridi olabilirdi
jacson Jackson
mukemmelin mükemmelin
kacırmayın kaçırmayın
istiyosun istiyorsun
supriz sürpriz
köstümü kostüm
yaptiran yaptıran
tadini tadını
ayagi ayağı
dıyın deyin
sede sedef
banks banka
güsel güzel
tadina tadına
gözel güzel
goruntulerden görüntülerden
ayaga ayağa
degissin değişsin
alaklı alakalı
bakimdan bakımdan
olmamali olmamalı
teşekkur teşekkür
cıkardılar çıkardılar
çekiyo çekiyor
alisik alışık
diyo diyot
our onur
cogu çoğu
ızlıyım izliyim
dolayısıla dolayısıyla
gıttıgınız gittiğiniz
sını sınıf
bakıyo bakıyor
terkedılmıs terkedilmiş
sızde sizde
tebrık tebrik
olabildigince olabildiğince
nuhun Nuh'un
vari var
kayseride Kayseri'de
hayvanlari hayvanları
verecegini vereceğini
begenmedi beğenmedi
yuklu yüklü
vard var
hayvanlarin hayvanların
sıte site
gosterilen gösterilen
gorunumlu görünümlü
uzakti uzaktı
calgi çalgı
olusturmus oluşturmuş
aralarinda aralarında
okumus okumuş
otl otel
oturtular oturttular
amerıkan amerikan
savasi savaş
ote öte
mumkun mümkün
isiklar ışıklar
biribirine birbirine
savasa savaşa
dıyorsanız diyorsanız
kivanc kıvanç
lafin lafın
lafim lafım
animation animasyon
dialogları diyalogları
istegi isteği
gosterilmemis gösterilmemiş
hayalkırıklıgı hayalkırıklığı
yakısmayan yakışmayan
hızmet hizmet
muteşem muhteşem
aşşağı aşağı
beklentılerımızı beklentilerimizi
byk büyük
sömine şömine
ort orta
yakisti yakıştı
bye bey
statusunde statüsünde
bya boya
orj orijinal
orf org
standartlarina standartlarına
baskalarinin başkalarının
yazmislar yazmışlar
mukemmeldi mükemmeldi
ulkemızde ülkemizde
tarıhlerde tarihlerde
programi programı
nerdne nereden
fılmdı filmdi
jony Johnny
calmaya çalmaya
kizimla kızımla
yetiskinler yetişkinler
çnkü çünkü
ciplak çıplak
kayalarin kayaların
arasnda arasında
bayildi bayıldı
tutulmus tutulmuş
butun bütün
herks herkes
seklindeydi şeklindeydi
rings ring
cünkü çünkü
kötu kötü
sehit şehit
sehir şehir
berak berrak
yazilacak yazılacak
ınsanı insani
dısarı dışarı
krızı krizi
ayristirici ayrıştırıcı
cekici çekici
çinde Çin'de
hiçç hiç
dişardan dışarıdan
zmana zaman
tecrube tecrübe
seyredın seyredin
harcanmıs harcanmış
puff puf
firinla fırınla
sacmaliklar saçmalıklar
soyluyolar söylüyorlar
kolaylikla kolaylıkla
disi dişi
gidilcek gidilecek
artilarindan artılarından
bulabileceginiz bulabileceğiniz
gormemistim görmemiştim
yuruten yürüten
diyologlar diyaloglar
sınf sınıf
hangı hangi
cıktıgını çıktığını
bug bugün
edeb edep
teknolojık teknolojik
ınsanlık insanlık
noktayi noktayı
one öne
katagorisine kategorisine
sansimiz şansımız
tşk teşekkürler
oscardan Oscar'dan
bitmiyo bitmiyor
dıyemezsın diyemezsin
cekmiştir çekmiştir
btn bütün
ejderhani ejderhanı
degılım değilim
gecirebileceginiz geçirebileceğiniz
yumruga yumruğa
yarattıgı yarattığı
sevdigi sevdiği
denicek denecek
gecemeyecegim geçemeyeceğim
yapılıyo yapılıyor
etmıs etmiş
onermiyorum önermiyorum
amai ama
begenmedim beğenmedim
üat üst
begenmedik beğenmedik
amac amaç
olu olur
amaa ama
ols olsa
tutmustu tutmuştu
degıl değil
fazlasiyla fazlasıyla
cıkabilir çıkabilir
alıcaktır alacaktır
arkadaslarinizla arkadaşlarınızla
banane banana
kalitli kaliteli
old oldu
modul modül
bulamazsiniz bulamazsınız
alamadim alamadım
bri bir
venus Venüs
anina anına
arıyacağım arayacağım
gelecegini geleceğini
kizi kızı
altin altın
paramizi paramızı
kiza kız
fılmde filmde
paramiza paramıza
2017de 2017'de
başarıli başarılı
angelanın Angela'nın
ıstemıyorum istemiyorum
isleyis işleyiş
almanyada Almanya'da
isaretleri işaretleri
ulkelerinden ülkelerinden
oldurmez öldürmez
sunduklari sundukları
bosluklar boşluklar
anima anime
oldugundan olduğundan
baktıgımda baktığımda
geçis geçiş
bugun bugün
hanim hanım
tavriyla tavrıyla
oldurmek öldürmek
dakikda dakikada
gelismemis gelişmemiş
dusunenlere düşünenlere
yukar yukarı
ınsana insana
cokmus çokmuş
beklemedigim beklemediğim
uslupla üslupla
ankaranin Ankara'nın
vermis vermiş
fotografla fotoğrafla
beyfendi beyefendi
yanimda yanımda
yaklasımları yaklaşımları
beklentıyı beklentiyi
facebookta Facebook'ta
noktasina noktasına
vermemısler vermemişler
baglayici bağlayıcı
catisma çatışma
nerden nereden
gunumu günümü
ordakı oradaki
durulmasi durulması
saglık sağlık
begeni beğeni
allahın Allah'ın
allahım Allah'ım
parçalari parçaları
bıcaklar bıçaklar
grub grup
tasiyor taşıyor
noktasi noktası
yıldiz yıldız
metod metot
tuzagı tuzak
hastanedeyım hastanedeyim
aratmadi aratmadı
cikmis çıkmış
bnm ben
uzerinden üzerinden
malıyetten maliyetten
soyleyebilirim söyleyebilirim
farkl farklı
farki farkı
birnci birinci
dakkadan dakikadan
gormemiz görmemiz
bolume bölüme
iddiali iddialı
bugra buğra
arkadaşlarin arkadaşların
teredüt tereddüt
saatlık saatlik
makyaş makyaj
kullaniyorlar kullanıyorlar
gonderi gönderi
variyorsun varıyorsun
ayse Ayşe
kımısı kimisi
haala hala
off of
yapistirma yapıştırma
aceba acaba
golgesinde gölgesinde
baglamda bağlamda
sadce sadece
yilda yılda
fotograflar fotoğrafları
çocukca çocukça
cıkmıs çıkmış
ayri ayrı
ble bile
gerceklık gerçeklik
yardimiyla yardımıyla
yaratici yaratıcı
bırakılmıs bırakılmış
gerı geri
yalniz yalnız
bıtırmısler bitirmişler
gıtmeye gitmeye
puanini puanını
dönüs dönüş
sevıyede seviyede
düsünmüyorum düşünmüyorum
puanina puanına
dügün düğün
bayragi bayrağı
bıcım biçim
çnce önce
kisi kişi
dısney Disney
kisa kısa
tıyatro tiyatro
değeride değerinde
cogunluk çoğunluk
vaad vaat
dıyeyım diyeyim
ihtiyacimiz ihtiyacımız
gelmisler gelmişler
yaziklar yazıklar
arkadaslardan arkadaşlardan
bekliyorsaniz bekliyorsanız
armas arması
bagır bağır
kirk kırk
sundugunu sündüğünü
barcelonanın Barselona'nın
batmiyor batmıyor
anlatılmıs anlatılmış
yilan yılan
kapatıyolar kapatıyorlar
kısımlarıda kısım
durmus dürmüş
olusturmaya oluşturmaya
