simdikilerde şimdikilerde
begenmeyeceklerdir beğenmeyeceklerdir
sasiracaginiz şaşıracağınız
come çöme
tarhliymiş tarhlıymış
ciddilesen ciddileşen
Zarina Zarına
hasilat hasılat
tasimis taşımış
ögrendi öğrendi
gulecegimden güleceğimden
bulunmalari bulunmaları
yasadigim yaşadığım
çabasina çabasına
parlakliginda parlaklığında
eklemisler eklemişler
duraganlasiyor durağanlaşıyor
dogurmuyor doğurmuyor
yaziniz yazınız
olamiyorsunuz olamıyorsunuz
birakılması bırakılması
Studyoları Stüdyoları
düsürülmesi düşürülmesi
çalismissiniz çalışmışsınız
soykırimdir soykırımdır
sahiciligini sahiciliğini
cole çöle
bekleyecegim bekleyeceğim
titrestirdikleri titreştirdikleri
begenirsem beğenirsem
cap çap
iscilikle işçilikle
sinmada sınmada
larının larinin
çikmasindan çıkmasından
boslugunu boşluğunu
direnişci direnişçi
bölümunun bölümünün
birakamamasi bırakamaması
Cuvalda Çuvalda
dönüsmesi dönüşmesi
sanatcilarsiniz sanatçılarsınız
eglenmekti eğlenmekti
halklarini halklarını
sinemasindan sinemasından
istemisler istemişler
duygularini duygularını
dekorlariyla dekorlarıyla
Ini Inı
fılmlerinden filmlerinden
duygularina duygularına
alismis alışmış
curumus çürümüş
eglendirildigi eğlendirildiği
ulasarak ulaşarak
arsıvlik arşivlik
çiktigimizda çıktığımızda
gecememis geçememiş
hayatiniza hayatınıza
sertligiyle sertliğiyle
performansindan performansından
aptalcaydi aptalcaydı
seyretmis seyretmiş
yasanilan yasanılan
anlayisin anlayışın
basliyorken başlıyorken
rekorlarini rekorlarını
duygularimi duygularımı
arkadasligini arkadaşlığını
izlemedigi izlemediği
kesileceginiz kesileceğiniz
kadraji kadrajı
yaklasirken yaklaşırken
bombardimani bombardımanı
cimende çimende
aydinlikta aydınlıkta
cikacağini çıkacağını
Icar İcar
indirgeyecegi indirgeyeceği
karsilastirildi karşılaştırıldı
pornografık pornografik
VICDAN VİCDAN
Batmani Batmanı
bunalimli bunalımlı
dövüstügü dövüştüğü
dayanismasi dayanışması
Ingiltere İngiltere
yandas yandaş
anlatiminda anlatımında
comak çomak
anlayislarini anlayışlarını
Ilk İlk
ugrasılmamıs uğraşılmamış
siveleri şiveleri
taninmamasi tanınmaması
Ile İle
elestirmenlerimiz eleştirmenlerimiz
imparatorlugun imparatorluğun
Ila İla
tükettigimiz tükettiğimiz
yayabilselermis yayabilselermiş
birakmaliymislar bırakmalıymışlar
oleceksınız öleceksiniz
kimlan kımlan
İRA IRA
hoslandiysaniz hoşlandıysanız
kısılıydık kişiliydik
gecıslere geçişlere
yaşayanlardir yaşayanlardır
dinlemistim dinlemiştim
akmis akmış
bahsettigi bahsettiği
oyunculuklariyla oyunculuklarıyla
sıksık şıkşık
ogullarinin oğullarının
apacik apaçık
sürdürdügü sürdürdüğü
Iki İki
yuregıne yüreğine
açmiyor açmıyor
hattindan hattından
değisle değişle
dakikalari dakikaları
basaramadiginizdan başaramadığınızdan
kimligini kimliğini
merakina merakına
farkinizi farkınızı
kararliliklarini kararlılıklarını
gerçeklesmedi gerçekleşmedi
bilinmezligini bilinmezliğini
yasanmisliklari yasanmışlıkları
taraflarindan taraflarından
sergilenmistir sergilenmiştir
çikabilirmis çıkabilirmiş
zorluklari zorlukları
bilissel bilişsel
yaptiklarinda yaptıklarında
fisiltilar fısıltılar
sadri sadrı
verecegine vereceğine
Senfonı Senfoni
yapsaydi yapsaydı
cınlerde cinlerde
dudaklariyla dudaklarıyla
calinmis çalınmış
imizin ımızın
zekalarini zekalarını
tabiatin tabiatın
radarimda radarımda
anlasilmistir anlaşılmıştır
kovalanmis kovalanmış
editoru editörü
aptalmısım aptalmışım
anlatsin anlatsın
kaymalari kaymaları
yaslaniyor yaslanıyor
düsmani düşmanı
olabildigine olabildiğine
çikana çıkana
mısım misim
muhurlenme mühürlenme
düsmana düşmana
babalarinin babalarının
Patlamanin Patlamanın
