Keıra Keira
jubilelerinin jübilelerinin
Korelilerin Körelilerin
gassalın gassalin
Ingiliz İngiliz
Tumen Tümen
Işte İşte
benzedigi benzediği
meselerle meşelerle
Ami Amı
Isveç İsveç
donüşümü dönüşümü
cilerin çilerin
gördügümüzde gördüğümüzde
Isle İsle
Ilk İlk
Savalas Savalaş
Karayip Karayıp
vampi vampı
Miamı Miami
formulü formülü
los lös
değinmeyecegim değinmeyeceğim
paslasması paslaşması
enstrumanının enstrümanının
Satrapi Satrapı
Istanbul İstanbul
tutsülenmiş tütsülenmiş
Karıyerinde Kariyerinde
Iki İki
gencimizi gençimizi
calışmaları çalışmaları
İkea Ikea
Canısı Canisi
Osmanı Osmani
değisle değişle
Balki Balkı
fılmlerinden filmlerinden
Italyan İtalyan
Ruşan Rüşan
coskusunu coşkusunu
Isabelle İsabelle
Isabella İsabella
Jone Jöne
pici piçi
fazlas fazlaş
Venezuella Venezüella
Sum Şum
koşesini köşesini
ağırsikletler ağırsıkletler
tiri tırı
gencimizin gençimizin
kapuşonlu kapüşonlu
Salo Şalo
anlasana anlaşana
Hira Hıra
kurulmasaydi kurulmasaydı
Satima Şatıma
kacandan kaçandan
nasihati nasihatı
siklet sıklet
geceninin geçeninin
aga ağa
Yarişmada Yarışmada
Bahari Baharı
sayıde şayide
çin çın
sokuldugu söküldüğü
JOLIE JOLİE
dışılığını dişiliğini
usül üşül
Ceceli Çeçeli
feragatini feragatını
Cisse Çişse
liğini lığını
Caplan Çaplan
akıldışı akıldişi
çektigi çektiği
gayrıresmî gayriresmî
sa şa
bıcır biçir
Gisede Gişede
Yanarin Yanarın
aşinaliği aşinalığı
Gollum Gollüm
suikastın suikastin
mubah mübah
ağırsiklet ağırsıklet
lı li
gotürmek götürmek
Cumhuriyetci Cumhuriyetçi
yöneteceklermis yöneteceklermiş
degiştirsek değiştirsek
çıtırlık çitirlik
yapmis yapmış
fotografın fotoğrafın
dugusunu düğüşünü
liğin lığın
sişesini şişesini
lılık lilik
konstruktivist konstrüktivist
Sanimiz Sanımız
pit pıt
Schroder Schröder
Isabela İsabela
Tami Tamı
değistiriyor değiştiriyor
canlandirma canlandırma
calışmalarını çalışmalarını
sıyırısan sıyırışan
gecişler geçişler
Onceler Önceler
dolce dölce
Cadlar Çadlar
siklette sıklette
dırıl diril
Garin Garın
Imre İmre
imizin ımızın
Pesci Peşçi
liberalliğinin liberallığının
kısımın kışımın
Pesce Pesçe
Istediğimiz İstediğimiz
dezavantajlarindan dezavantajlarından
vizdan vızdan
Sutler Sütler
gögüslerine göğüslerine
Kususuz Küsüsüz
diyalogunun diyaloğunun
Insanın İnşanın
serisiye şerisiye
Andi Andı
Çarli Çarlı
gencinden gençinden
fotografik fotoğrafik
dışılığın dişiliğin
MacSam MaçSam
Ido İdo
Aramis Aramış
çiçekci çiçekçi
gencinin gençinin
Idi İdi
Israel İsrael
Memati Mematı
Yalarin Yaların
Kurttekin Kürttekin
gorünse görünse
düşünememıştik düşünememiştik
larının larinin
Matin Matın
Barışcı Barışçı
süphesiz şüphesiz
antropologun antropoloğun
Kaliç Kalıç
