ugradigim uğradığım
Yanardagin Yanardağın
uzamis uzamış
sasali şaşalı
baslatan başlatan
yaratamiyor yaratamıyor
sarip sarıp
bogazı boğazı
skec skeç
atlamislar atlamışlar
Rituelde Ritüelde
kattigi kattığı
elestiriyor eleştiriyor
oden öden
yazisina yazışına
calisti çalıştı
inandigim inandığım
musameresi müsameresi
calismayi çalışmayı
gülun gülün
damari damarı
israrcilar ısrarcılar
nasi naşi
sanariz sanarız
dramini dramını
Deliligin Deliliğin
sensinde şensinde
siradişı sıradışı
tasiyin taşıyın
Lıam Liam
dramina dramına
karistiriyor karıştırıyor
ulasilmasi ulaşılması
ulasmissindir ulaşmışsındır
yaraticiliktan yaratıcılıktan
kopariyor koparıyor
yikiliyor yıkılıyor
calismak çalışmak
ritueller ritüeller
Ikiz İkiz
irina ırına
ıdeal ideal
tasini taşını
stone stöne
hirsli hırslı
babinda babında
akibetini akıbetini
şaşirmaniza şaşırmanıza
karalanmisti karalanmıştı
FIRE FİRE
irana ırana
Ile İle
kadraji kadrajı
dalmıs dalmış
tarihcilere tarihçilere
iisi ıısı
Ila İla
yaratmasin yaratmasın
yakinligin yakınlığın
Izabela İzabela
inandirma inandırma
zamanidir zamanıdır
sinemasini sinemasını
karadeligin karadeliğin
sinemasina sinemasına
carpınca çarpınca
ofkelı öfkeli
kostumunu kostümünü
teknigin tekniğin
delige deliğe
lose löse
omasin omasın
DELIL DELİL
çalismissiniz çalışmışsınız
arastirmadan araştırmadan
sina sına
taradim taradım
FILMI FİLMİ
FILME FİLME
kardese kardeşe
ulasmasini ulaşmasını
AMERIKAN AMERİKAN
aşıgim aşığım
siradanligin sıradanlığın
fbi fbı
dayandigi dayandığı
israfi israfı
depolandi depolandı
kardesini kardeşini
Dirilisten Dirilişten
franklin franklın
damarlarim damarlarım
hasilat hasılat
DUSTUGUNDE DÜŞTÜĞÜNDE
Ikincisini İkincisini
Ivory İvory
Skiles Skileş
savasindan savaşından
kalista kalışta
aktor aktör
Radari Radarı
isinlanmalar ısınlanmalar
bulasmamak bulaşmamak
sirasi sırası
intikami intikamı
ork örk
Breslin Breşlin
olume ölüme
FILMINDEN FİLMİNDEN
Universitesini Üniversitesini
calinti çalıntı
isinmam ışınmam
sarmaliyor sarmalıyor
bayiyor bayıyor
yaris yariş
tabelasini tabelasını
isinmadi ışınmadı
Uşun Üşün
lın lin
Saturn Satürn
tanitiliyor tanıtılıyor
atlanmis atlanmış
insandim inşandım
FILIM FİLİM
cimende çimende
savasini savasını
akişi akışı
kulture kültüre
