insanligi insanlığı
guldurmeyen güldürmeyen
atlamalarini atlamalarını
gezdirdigi gezdirdiği
cekerler çekerler
insanliga insanlığa
danısılıp danışılıp
Bagira Bağıra
atmamis atmamış
gerceklere gerçeklere
ina ına
imajimiz imajımız
begenmezlerse beğenmezlerse
duyariz duyarız
çektigimi çektiğimi
cekselermis çekselermiş
begenmeyeceklerdir beğenmeyeceklerdir
aslida aslıda
cap çap
hayatlarini hayatlarını
basmakalipliğından basmakalıplığından
duyarim duyarım
islemisti islemişti
gonderir gönderir
atilmis atılmış
geçmistir geçmiştir
hayatlarina hayatlarına
egmege eğmeğe
Isaac İsaac
basardiniz basardınız
hayalkirikligina hayalkırıklığına
cikabilecek çıkabilecek
bakislar bakışlar
Izlenilmeden İzlenilmeden
Ini Inı
aldiginiz aldığınız
duymadiniz duymadınız
deyislerle deyişlerle
anlamamissiniz anlamamışsınız
eglendiren eğlendiren
hoslanmayıp hoşlanmayıp
gecirtiyor geçirtiyor
asklarimda aşklarımda
ekleyecegınız ekleyeceğiniz
başlıga başlığa
isçiligi işçiliği
Borte Börte
aglamamiz ağlamamız
GELIYOR GELİYOR
fragmanlari fragmanları
begenmeyenlerde beğenmeyenlerde
Ister İster
ilerleyis ilerleyiş
birakmam bırakmam
baglaniveriyorsunuz bağlanıveriyorsunuz
dünyamizi dünyamızı
gerçekligine gerçekliğine
hulya hülya
arsıve arşive
dolasmadigini dolaşmadığını
heyecanlandim heyecanlandım
Dondü Döndü
Ilk İlk
cekmis çekmiş
goruldugunu görüldüğünü
baglayip bağlayıp
disa dışa
butcede bütçede
anliyoruz anlıyoruz
baglanamamis bağlanamamış
anlatmiş anlatmış
bogdu boğdu
israriyla ısrarıyla
gozyaslarinizi gözyaşlarınızı
açisi açışı
basmis basmış
islandın ıslandın
cekımde çekimde
dayanamadi dayanamadı
harcadigimiz harcadığımız
gömülmüstü gömülmüştü
gozyaslariniza gözyaşlarınıza
hafiz hafız
cektiremem çektiremem
bazilarimiz bazılarımız
acımasızin acımasızın
aglattı ağlattı
Hatirlayacaginiz Hatırlayacağınız
bahs bahş
artirmak artırmak
Iki İki
elestirecekseniz eleştirecekseniz
gorecegiz göreceğiz
alikoyuyor alıkoyuyor
anlayabilmis anlayabilmiş
goreceginiz göreceğiniz
disina dışına
hoşgoru hoşgörü
bunalimlarindan bunalımlarından
Çaresizligimiz Çaresizliğimiz
gecilmis geçilmiş
fılmi filmi
biktik bıktık
ayrilmisti ayrılmıştı
geçmisten geçmişten
cikabilirmis çıkabilirmiş
huzunlendiren hüzünlendiren
ilcede ilçede
fılme filme
dagıtacak dağıtacak
düstüm düştüm
cevrilmis çevrilmiş
dusundurmeyen düşündürmeyen
anlasilmistir anlaşılmıştır
harcaniyor harcanıyor
BASLADIĞI BAŞLADIĞI
cingoz cingöz
değilmisin değilmişin
batirdiklari batırdıkları
Çigli Çığlı
dehasinin dehasının
gerizekalilar gerizekalılar
anlamıstım anlamıştım
atmalari atmaları
acimizdan acımızdan
havasina havasına
fılmım filmim
gösterdiginiz gösterdiğiniz
adaylik adaylık
gicik gıcık
biraksin bıraksın
izledigımde izlediğimde
düsmani düşmanı
Intikamdir İntikamdır
elestirelim eleştirelim
farkedemeyecegini farkedemeyeceğini
düsmana düşmana
hırsızin hırsızın
Izlenmesini İzlenmesini
anlasirken anlaşırken
dönüldügünde dönüldüğünde
aldiginda aldığında
Celikkol Çelikkol
ettigine ettiğine
insanlardir insanlardır
düsündürtecek düşündürtecek
Çocuklugumuzun Çocukluğumuzun
cekmem çekmem
çikabilirdi çıkabilirdi
cukuruna çukuruna
düsmeyip düşmeyip
arttigi arttığı
adımin adimin
bayagida bayağıda
fılmin filmin
basladigi başladığı
gozleriniz gözleriniz
anlatamiyor anlatamıyor
calısırken çalışırken
anlatabilmisimdir anlatabilmişimdir
Halkca Halkça
düsünerek düşünerek
degersizlestirdigini değersizleştirdiğini
becerdiginiz becerdiğiniz
açilmasi açılması
çagın çağın
fisiltilardan fısıltılardan
giristigini giriştiğini
gozyaslarimizin gözyaşlarımızın
gidisle gidişle
itibariyla itibarıyla
inatçi inatçı
gururlanmanin gururlanmanın
çıkarilabilirdi çıkarılabilirdi
aska aşka
duyacaginiz duyacağınız
davranışlarıydi davranışlarıydı
duydukca duydukça
buyulemeye büyülemeye
asagilik aşağılık
bilinmezligini bilinmezliğini
hatiri hatırı
elestirenler eleştirenler
anlamin anlamın
anlamanizi anlamanızı
guldurun güldürün
GARİ GARI
burunuyor bürünüyor
basliyorken başlıyorken
hatirliyorum hatırlıyorum
güzellesiyor güzelleşiyor
gögsüm göğsüm
baglanmayan bağlanmayan
EFSANESI EFSANESİ
çocuklarimla çocuklarımla
darmadagın darmadağın
adiyor adıyor
alinti alıntı
anlamadiklarini anlamadıklarını
Izleme İzleme
hokkabazliga hokkabazlığa
adayligini adaylığını
düsünceden düşünceden
izlemedigi izlemediği
alisabilmek alışabilmek
dolandiriyorlar dolandırıyorlar
anlamayanlardir anlamayanlardır
fotografçinin fotoğrafçının
EKIPMAN EKİPMAN
açikta açıkta
aglamamak ağlamamak
ilgilenemedigi ilgilenemediği
açıklayin açıklayın
cekımlerı çekimleri
izlemisimdir izlemişimdir
isledigini işlediğini
irkçilik ırkçılık
dilegimdir dileğimdir
aglatti ağlattı
aglamami ağlamamı
dusunmemistim düşünmemiştim
abartilmamasi abartılmaması
hakkettigi hakkettiği
bulmanizin bulmanızın
ici içi
darmadagin darmadağın
Idi İdi
etkileneceklerı etkilenecekleri
görüsme görüşme
bayilacaklar bayılacaklar
çabaniz çabanız
baglanamiyorsun bağlanamıyorsun
anlatmis anlatmış
aldatamazsiniz aldatamazsınız
benligini benliğini
baglayan bağlayan
gorunumler görünümler
İZLEDİGİM İZLEDİĞİM
düsmeyen düşmeyen
haklilarmis haklılarmış
ayyas ayyaş
cekimlerinde çekimlerinde
ayirdim ayırdım
islenis işleniş
bastigi bastığı
cimbizla cımbızla
Izlemelisiniz İzlemelisiniz
Izlediğim İzlediğim
istemisler istemişler
hazirlanis hazırlanış
gerçegi gerçeği
boyamasin boyamasın
hazirlanin hazırlanın
IZLEMIŞ İZLEMİŞ
guclerin güçlerin
gerçege gerçeğe
anasini anasını
amacsizca amaçsızca
gidecegime gideceğime
captan çaptan
girememis girememiş
acikliydi acıklıydı
alindigini alındığını
birakırlar bırakırlar
aldiris aldırış
gerektigine gerektiğine
bazilarina bazılarına
çekildigini çekildiğini
aldirip aldırıp
cekilir çekilir
çocuklugumdaki çocukluğumdaki
çalisilmis çalışılmış
çöküsün çöküşün
istemisse istemişse
çiktigi çıktığı
istemediginiz istemediğiniz
berbatligini berbatlığını
dublaji dublajı
ayiramiyorsunuz ayıramıyorsunuz
İHALAR IHALAR
canlandirdigi çanlandırdığı
bastirmaya bastırmaya
göndermisti göndermişti
aldiginizda aldığınızda
Çerkesler Çerkeşler
isiginda ışığında
adlandirilan adlandırılan
gondermeden göndermeden
igrençti iğrençti
Ian İan
edilebildigi edilebildiği
Icınde İçinde
cıkalı çıkalı
izlendiginde izlendiğinde
bitirmisler bitirmişler
